player_id,name,svpts,aces,df,pct_1stIn,pct_1stWon,pct_2ndWon,pct_SvPtsWon,bp_faced,pct_bp_conv,pct_bp_saved,pct_1stRetPtsWon,pct_2ndRetPtsWon,Grass winRt,Hard winRt,Clay winRt,G winRt,A winRt,M winRt,F winRt,O winRt,recPerf
131905,Manuel Guinard,784.0,35.0,28.0,0.634,0.642,0.456,0.574,107.0,0.397,0.673,0.3,0.534,0.0,0.5,0.4,0.0,0.5,0.0,0.0,0.0,0.3613620569335769
131934,Andrea Vavassori,1516.0,86.0,69.0,0.615,0.701,0.487,0.619,144.0,0.424,0.639,0.295,0.47,0.0,0.5,0.462,0.333,0.455,0.4,0.0,0.0,0.4679255402939673
123755,Daniel Elahi Galan,8036.0,465.0,156.0,0.625,0.685,0.48,0.608,764.0,0.387,0.592,0.275,0.487,0.6,0.366,0.375,0.5,0.4,0.214,0.0,0.5,0.34834333177324506
123768,Collin Altamirano,167.0,8.0,6.0,0.527,0.693,0.405,0.557,20.0,0.333,0.5,0.205,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123795,Altug Celikbilek,598.0,46.0,31.0,0.589,0.722,0.48,0.622,61.0,0.487,0.623,0.213,0.509,0.333,0.5,0.0,0.0,0.444,0.0,0.0,0.0,0.18553337988513408
123809,Ivan Gakhov,393.0,20.0,20.0,0.542,0.667,0.472,0.578,44.0,0.286,0.636,0.286,0.485,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.15724207427765213
205734,Thiago Seyboth Wild,3900.0,250.0,164.0,0.605,0.688,0.501,0.614,362.0,0.38,0.61,0.287,0.491,0.0,0.286,0.4,0.5,0.273,0.583,0.0,0.0,0.40176272764137166
123828,Jan Choinski,670.0,30.0,12.0,0.703,0.648,0.508,0.606,75.0,0.447,0.693,0.212,0.459,0.2,0.0,0.333,0.5,0.167,0.0,0.0,0.0,0.10308998699194362
123896,Matija Pecotic,146.0,12.0,11.0,0.616,0.733,0.482,0.637,15.0,0.357,0.667,0.211,0.521,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
123921,Calvin Hemery,758.0,61.0,59.0,0.603,0.652,0.412,0.557,76.0,0.333,0.474,0.284,0.449,0.0,0.0,0.286,0.0,0.222,0.0,0.0,0.0,0.10308998699194362
124013,Eduardo Nava,173.0,7.0,8.0,0.555,0.542,0.468,0.509,29.0,0.444,0.621,0.333,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124014,Ernesto Escobedo,4715.0,375.0,162.0,0.577,0.711,0.533,0.636,406.0,0.321,0.606,0.238,0.451,0.333,0.341,0.3,0.25,0.333,0.417,0.0,0.0,0.15511176184547842
124079,Pedro Martinez,9641.0,245.0,431.0,0.655,0.65,0.497,0.597,946.0,0.39,0.584,0.284,0.51,0.429,0.419,0.448,0.389,0.481,0.3,0.0,0.0,0.5238300208021818
132283,Lorenzo Sonego,18786.0,1443.0,453.0,0.66,0.725,0.511,0.652,1429.0,0.375,0.626,0.266,0.458,0.562,0.431,0.494,0.5,0.478,0.443,0.0,0.5,0.40934449642903764
124116,Sebastian Ofner,5905.0,490.0,205.0,0.567,0.732,0.485,0.625,544.0,0.402,0.614,0.284,0.485,0.429,0.5,0.412,0.5,0.46,0.333,0.0,0.0,0.40169244874322263
124154,Sasi Kumar Mukund,111.0,2.0,1.0,0.622,0.58,0.381,0.505,15.0,0.25,0.4,0.174,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124186,Alexandre Muller,3752.0,183.0,98.0,0.637,0.655,0.505,0.6,361.0,0.415,0.56,0.283,0.504,0.5,0.333,0.455,0.222,0.429,0.455,0.0,0.0,0.42444004139189406
124187,Reilly Opelka,12554.0,2673.0,434.0,0.638,0.789,0.557,0.705,643.0,0.304,0.684,0.201,0.427,0.273,0.556,0.452,0.52,0.518,0.5,0.0,0.0,0.5558717054343002
206173,Jannik Sinner,19581.0,1387.0,526.0,0.595,0.742,0.549,0.664,1452.0,0.425,0.665,0.349,0.531,0.6,0.772,0.677,0.755,0.752,0.71,0.714,0.0,0.7989146882414981
132482,Liam Caruana,249.0,21.0,9.0,0.614,0.732,0.427,0.614,25.0,0.273,0.56,0.203,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132686,Nuno Borges,5154.0,287.0,153.0,0.643,0.694,0.519,0.631,441.0,0.356,0.596,0.262,0.481,0.0,0.4,0.478,0.385,0.444,0.333,0.0,0.0,0.416862446677151
206499,Aleksandar Kovacevic,2688.0,281.0,99.0,0.598,0.752,0.475,0.641,224.0,0.33,0.634,0.259,0.432,0.0,0.417,0.143,0.333,0.409,0.143,0.0,0.0,0.3453971534445779
